input1,input2,output
17123,12078,10266
12078,10266,10177
10266,10177,12503
10177,12503,14192
12503,14192,15411
14192,15411,16854
15411,16854,19683
16854,19683,16440
19683,16440,14528
16440,14528,12369
14528,12369,11966
12369,11966,12123
11966,12123,10960
12123,10960,13443
10960,13443,8913
13443,8913,7649
8913,7649,6542
7649,6542,4216
6542,4216,2639
4216,2639,4205
2639,4205,9931
4205,9931,11944
9931,11944,11497
11944,11497,13018
11497,13018,12995
13018,12995,11586
12995,11586,7113
11586,7113,10490
7113,10490,14897
10490,14897,22457
14897,22457,23933
22457,23933,26405
23933,26405,27031
26405,27031,12548
27031,12548,26025
12548,26025,20846
26025,20846,9752
20846,9752,14908
9752,14908,14908
14908,14908,32914
14908,32914,14472
32914,14472,27501
14472,27501,7661
27501,7661,22312
7661,22312,16328
22312,16328,28049
16328,28049,6553
28049,6553,10691
6553,10691,10848
10691,10848,3959
10848,3959,9611
3959,9611,15784
9611,15784,21249
15784,21249,10266
21249,10266,8636
10266,8636,9629
8636,9629,16585
9629,16585,4328
16585,4328,9528
4328,9528,2851
9528,2851,15154
2851,15154,9875
15154,9875,4261
9875,4261,1890
4261,1890,22
1890,22,4361
22,4361,894
4361,894,10658
894,10658,12817
10658,12817,16239
12817,16239,9942
16239,9942,10445
9942,10445,17894
10445,17894,12682
17894,12682,14237
12682,14237,12660
14237,12660,8287
12660,8287,12257
8287,12257,15624
12257,15624,14158
15624,14158,17860
14158,17860,18565
17860,18565,15590
18565,15590,14684
15590,14684,15064
14684,15064,18945
15064,18945,15109
18945,15109,7705
15109,7705,8253
7705,8253,11485
8253,11485,6654
11485,6654,3925
6654,3925,5345
3925,5345,7683
5345,7683,23352
7683,23352,11430
23352,11430,12447
11430,12447,12682
12447,12682,10334
12682,10334,4495
10334,4495,12973
4495,12973,24314
12973,24314,24314
24314,24314,26707
24314,26707,22681
26707,22681,8332
22681,8332,19135
8332,19135,18856
19135,18856,18084
18856,18084,7482
18084,7482,10703
7482,10703,11284
10703,11284,8835
11284,8835,14404
8835,14404,20526
14404,20526,15053
20526,15053,12089
15053,12089,15344
12089,15344,21629
15344,21629,22446
21629,22446,21663
22446,21663,20332
21663,20332,24202
20332,24202,26192
24202,26192,28608
26192,28608,32702
28608,32702,44255
32702,44255,38950
44255,38950,24056
38950,24056,36213
24056,36213,46480
36213,46480,30006
46480,30006,26125
30006,26125,15053
26125,15053,25007
15053,25007,14103
25007,14103,15422
14103,15422,13197
15422,13197,13890
13197,13890,13868
13890,13868,12995
13868,12995,12828
12995,12828,11855
12828,11855,12503
11855,12503,11989
12503,11989,15176
11989,15176,13924
15176,13924,17133
13924,17133,11374
17133,11374,32277
11374,32277,18174
32277,18174,7470
18174,7470,12559
7470,12559,22010
12559,22010,11888
22010,11888,23889
11888,23889,35073
23889,35073,34211
35073,34211,26584
34211,26584,12716
26584,12716,5983
12716,5983,25913
5983,25913,28575
25913,28575,21864
28575,21864,20779
21864,20779,23094
20779,23094,24381
23094,24381,26696
24381,26696,21160
26696,21160,20489
21160,20489,18845
20489,18845,19706
18845,19706,20958
19706,20958,17435
20958,17435,19482
17435,19482,20880
19482,20880,21216
20880,21216,19549
21216,19549,13320
19549,13320,10937
13320,10937,12458
10937,12458,13532
12458,13532,14103
13532,14103,16753
14103,16753,16753
16753,16753,17391
16753,17391,17268
17391,17268,18833
17268,18833,19102
18833,19102,20522
19102,20522,19281
20522,19281,19572
19281,19572,20041
19572,20041,23199
20041,23199,28228
23199,28228,17480
28228,17480,21786
17480,21786,21450
21786,21450,35654
21450,35654,50652
35654,50652,38663
50652,38663,39065
38663,39065,35721
39065,35721,26192
35721,26192,30454
26192,30454,39088
30454,39088,22144
39088,22144,24504
22144,24504,24090
24504,24090,23273
24090,23273,14080
23273,14080,19314
14080,19314,18598
19314,18598,22479
18598,22479,31102
22479,31102,28094
31102,28094,10637
28094,10637,17092
10637,17092,26483
17092,26483,28474
26483,28474,21350
28474,21350,19337
21350,19337,25164
19337,25164,27852
25164,27852,30084
27852,30084,28150
30084,28150,28821
28150,28821,19996
28821,19996,19504
19996,19504,16194
19504,16194,17581
16194,17581,15646
17581,15646,15758
15646,15758,17122
15758,17122,15948
17122,15948,14159
15948,14159,13454
14159,13454,12559
13454,12559,48683
12559,48683,41917
48683,41917,42118
41917,42118,27702
42118,27702,20366
27702,20366,19896
20366,19896,34547
19896,34547,28083
34547,28083,15064
28083,15064,15064
15064,15064,23206
15064,23206,13890
23206,13890,13711
13890,13711,15400
13711,15400,13074
15400,13074,14807
13074,14807,14237
14807,14237,13331
14237,13331,10647
13331,10647,15780
10647,15780,17972
15780,17972,15993
17972,15993,17737
15993,17737,6520
17737,6520,13700
